station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
18th & R St NW,279083,2014-11-10 11:37:07,2023-02-28 23:20:08,31278,-77.041834,38.912648
18th St & Pennsylvania Ave NW,294044,2011-11-29 08:33:49,2023-02-28 21:06:02,31242,-77.041539,38.89968
18th St & Rhode Island Ave NE,18885,2013-05-30 12:14:56,2023-02-28 16:09:18,31510,-76.978924,38.927095
18th St & S Eads St,8652,2019-03-01 13:16:58,2021-08-25 08:59:00,,-77.053,38.857
18th St & Wyoming Ave NW,334305,2013-04-03 15:22:53,2023-03-01 09:22:07,31114,-77.041571,38.918809
19th & E Street NW,112298,2010-09-20 12:41:37,2023-02-28 19:45:05,31206,-77.0436,38.8952
19th & East Capitol St SE,116752,2010-09-20 13:00:15,2023-02-28 20:54:18,31601,-76.9769,38.8896
19th & G St NW,132780,2015-03-20 08:30:58,2023-02-28 23:43:33,31279,-77.043182,38.898412
19th & I St NW,5,2023-02-26 12:16:51,2023-02-28 09:09:24,31253,-77.04338550567627,38.901633245815496
19th & K St NW,179157,2012-06-27 08:55:07,2023-02-28 22:24:07,,-77.043,38.902
19th & L St NW,199524,2010-10-18 14:06:38,2019-05-31 20:40:54,,-77.046,38.903
19th & Savannah St SE,831,2017-09-21 21:29:27,2023-02-27 12:20:26,31815,-76.97703,38.84623
19th St & Constitution Ave NW,307440,2010-10-16 15:43:28,2023-02-28 18:03:39,31235,-77.04307436943054,38.89221235271478
19th St & Pennsylvania Ave NW,216418,2010-09-20 12:10:43,2023-02-28 20:24:25,31100,-77.0429,38.9003
19th St N & Ft Myer Dr,1499,2022-11-15 08:46:16,2023-02-28 23:03:32,31014,-77.072143,38.897218
1st & D St SE,135592,2016-09-16 12:41:12,2023-02-28 22:10:49,31643,-77.005965,38.884916
1st & H St NW,171572,2014-02-18 16:48:14,2023-02-28 20:39:07,31638,-77.012108,38.900358
1st & I St SE,38333,2022-05-24 17:03:30,2023-02-28 23:29:32,31628,-77.00572729110718,38.878854378063295
1st & K NE,29,2020-05-26 12:27:41,2020-05-27 22:39:48,,-77.005,38.902
1st & K St NE,67217,2020-05-26 15:39:54,2023-03-01 00:09:32,31662,-77.005649,38.902386
1st & K St SE,343439,2012-02-08 13:46:17,2022-05-24 16:56:30,,-77.005,38.878
1st & L St NW,424,2023-01-11 13:53:44,2023-02-28 21:06:04,31677,-77.011987,38.903819
